斜線指令,別名,用法,備註
/stop,--stop,"--stop(duration=秒數,keywords=密碼)",
/txt,--txt,--txt(text=文字),tmp.txt會自動刪除
/shutdown,--shutdown,--shutdown,強制關機，不會重開(重開請用/cmd)
/device,--device,--device,
/msg,--msg,--msg(text=訊息),會暴露程式位置
/web,--web,--web(url=有效連結),只會用Chrome
/reject,--reject,--reject(names=密碼),參數用names只是因為懶得改
/cmd,--cmd,--cmd(commands=指令),換行是一種藝術
/key,--key,--key(keys=按鍵),可以按特殊鍵
/keyboard,--keyboard,--keyboard(keys=文字),直接輸入字串
/key_wait,--key_wait,"key_wait(keys=按鍵,interval=間隔)",
/close,--close,--close(keyword=關鍵字),包含就關閉，優雅關閉
/close_loop,--close_loop,"--close_loop(interval=間隔,keyword=關鍵字)",包含就關閉，優雅關閉
/volume,--volume,--volume(level=音量),0~100
/monitor_off,--monitor_off,--monitor_off(interval=間隔),
/monitor_on,--monitor_on,--monitor_on,
/screenshot,--screenshot,--screenshot,在UAC或沙盒中可能不如預期
/screenshot_notify,直接傳圖片,僅限斜線指令,會暴露程式位置
/blackade,--blackade,--blackade(keywords=關鍵字),約5秒關閉一次，終止程序
/unblackade,--unblackade,--unblackade(keywords=關鍵字),跟blackade的關鍵字要一樣
/startup,,僅限斜線指令,
/shell_startup,,僅限斜線指令,
/token,,僅限斜線指令,
/reg_startup,,僅限斜線指令,比shell_startup快一點，但可能被當木馬
/powershell,,僅限斜線指令,
/help,,僅限斜線指令,check以查看回應
/task_list,--task_list,--task_list,
/cmdlist,--cmdlist,cmdlist,
--kill,--kill,--kill,
